Rank,Filename,Relative Path,True Class,Predicted Class,Confidence,Confidence Pct
1,CV00018.jpg,Curl Virus\CV00018.jpg,Curl Virus,Healthy Leaf,0.9898,98.98%
2,LR00432.jpg,Leaf Redding\LR00432.jpg,Leaf Redding,Bacterial Blight,0.9883,98.83%
3,LR00516.jpg,Leaf Redding\LR00516.jpg,Leaf Redding,Bacterial Blight,0.9616,96.16%
4,LR00526.jpg,Leaf Redding\LR00526.jpg,Leaf Redding,Bacterial Blight,0.9528,95.28%
5,LHJ00178.jpg,Leaf Hopper Jassids\LHJ00178.jpg,Leaf Hopper Jassids,Bacterial Blight,0.9070,90.70%
6,HL00098.jpg,Healthy Leaf\HL00098.jpg,Healthy Leaf,Leaf Hopper Jassids,0.8810,88.10%
7,LHJ00221.jpg,Leaf Hopper Jassids\LHJ00221.jpg,Leaf Hopper Jassids,Healthy Leaf,0.8782,87.82%
8,LR00555.jpg,Leaf Redding\LR00555.jpg,Leaf Redding,Bacterial Blight,0.8532,85.32%
9,CV00401.jpg,Curl Virus\CV00401.jpg,Curl Virus,Healthy Leaf,0.8352,83.52%
10,LHJ00051.jpg,Leaf Hopper Jassids\LHJ00051.jpg,Leaf Hopper Jassids,Leaf Redding,0.8259,82.59%
11,LR00414.jpg,Leaf Redding\LR00414.jpg,Leaf Redding,Leaf Hopper Jassids,0.8220,82.20%
12,CV00385.jpg,Curl Virus\CV00385.jpg,Curl Virus,Leaf Hopper Jassids,0.8200,82.00%
13,LHJ00011.jpg,Leaf Hopper Jassids\LHJ00011.jpg,Leaf Hopper Jassids,Curl Virus,0.8190,81.90%
14,HGD00188.jpg,Herbicide Growth Damage\HGD00188.jpg,Herbicide Growth Damage,Leaf Variegation,0.8181,81.81%
15,HGD00094.jpg,Herbicide Growth Damage\HGD00094.jpg,Herbicide Growth Damage,Leaf Hopper Jassids,0.8154,81.54%
16,CV00415.jpg,Curl Virus\CV00415.jpg,Curl Virus,Healthy Leaf,0.8062,80.62%
17,LR00245.jpg,Leaf Redding\LR00245.jpg,Leaf Redding,Curl Virus,0.7978,79.78%
18,LR00429.jpg,Leaf Redding\LR00429.jpg,Leaf Redding,Bacterial Blight,0.7675,76.75%
19,CV00022.jpg,Curl Virus\CV00022.jpg,Curl Virus,Healthy Leaf,0.7666,76.66%
20,HGD00238.jpg,Herbicide Growth Damage\HGD00238.jpg,Herbicide Growth Damage,Leaf Hopper Jassids,0.7571,75.71%
